RnkIMDNoEd,No_qual,Maori,Drive_priv,Bus,Masters_,AnyUni,Bike
5322,32.6,61.4,54.4,0.4,1.3,22.7,0
5221,24.5,62.2,60.8,1.1,0.7,31.1,0
5478,21.1,63.4,67,0.6,3.9,36.9,0.6
4825,26.9,62.7,60.2,0,1.3,26.7,0
4872,26.9,62.7,60.2,0,1.3,26.7,0
5830,26.9,55.5,53.6,0.7,1.7,28.5,0
6168,31.7,66.9,64.1,0,1,24.9,0.8
6155,31.8,69,55.6,0.4,1.4,23.8,0.7
4254,24.5,62.2,60.8,1.1,0.7,31.1,0
6115,31.7,66.9,64.1,0,1,24.9,0.8
6093,31.8,69,55.6,0.4,1.4,23.8,0.7
5562,26.9,62.7,60.2,0,1.3,26.7,0
6159,31.8,69,55.6,0.4,1.4,23.8,0.7
4918,31.7,66.9,64.1,0,1,24.9,0.8
5954,31.8,69,55.6,0.4,1.4,23.8,0.7
5691,26.9,62.7,60.2,0,1.3,26.7,0
4824,28.6,52.6,60.5,0,1.3,28.5,0.6
6064,32.9,87.9,50.6,0,1.2,25.4,0
4374,26.9,55.5,53.6,0.7,1.7,28.5,0
5575,24.2,47,58.7,0.5,1.3,29.5,0
5630,23.1,44.4,61.6,0,2.7,29.9,0
5971,25.4,59.8,57.1,0,3.1,27.5,0
5374,24.2,47,58.7,0.5,1.3,29.5,0
5371,25.4,59.8,57.1,0,3.1,27.5,0
5608,23.1,44.4,61.6,0,2.7,29.9,0
5863,23,65,54.7,0,2.8,35.6,0
5934,27,57.4,44.7,0,3.4,31.6,0
5018,23.7,34.1,58.5,0.4,3.6,34.1,0
4496,27.2,43.3,58.7,0,2.5,32.7,0
5203,23.7,34.1,58.5,0.4,3.6,34.1,0
6020,30.2,81.4,61.6,0,1.7,29.8,0
5146,23.7,34.1,58.5,0.4,3.6,34.1,0
5975,28.1,66.8,55.1,0,1.8,29.8,0.8
5379,23.1,42.2,53.3,0,2.4,30.2,0
6131,28.1,66.8,55.1,0,1.8,29.8,0.8
6079,30.2,81.4,61.6,0,1.7,29.8,0
4768,27.8,49.6,54.5,0,1.7,28.8,0
5162,25.8,51.9,59.4,0,2.2,28.7,0.6
5362,23.4,73,57.1,0,0.9,28,0
5464,22.1,42.2,57.3,0,2.7,30.8,0
5235,25.9,60,57.4,0,2.8,29.3,0
5759,25.8,51.9,59.4,0,2.2,28.7,0.6
6117,30.5,79.1,64.4,0.2,1.3,24.1,0.4
6065,30.5,79.1,64.4,0.2,1.3,24.1,0.4
6172,30.5,79.1,64.4,0.2,1.3,24.1,0.4
6149,30.5,79.1,64.4,0.2,1.3,24.1,0.4
6087,30.5,79.1,64.4,0.2,1.3,24.1,0.4
1925,22.1,42.2,57.3,0,2.7,30.8,0
6120,23.4,73,57.1,0,0.9,28,0
6012,25.7,69.8,62.7,0,1.8,27.5,0
4566,21.6,45.3,58.5,0,2.8,31.7,0
1988,14.9,19.1,59,0,2.6,38.5,0.5
5543,25.9,60,57.4,0,2.8,29.3,0
2795,14.9,19.1,59,0,2.6,38.5,0.5
1865,16.6,19.3,54.9,0,2.4,37.5,0
3958,16.8,27.6,54.9,0,2.7,35.1,0
3598,19.6,27.6,55,0,1.9,31.5,1.3
3645,27.2,67.5,64.9,0,1.9,29.8,0.5
2813,16.6,19.3,54.9,0,2.4,37.5,0
3119,14.9,19.1,59,0,2.6,38.5,0.5
5760,22.5,25.1,57.1,0,2.7,29.8,0.3
2344,14.2,16.6,54.6,0,4,41.6,1
4764,22.5,25.1,57.1,0,2.7,29.8,0.3
820,14.9,17.1,59.5,0,4.3,39,0.3
3726,17,33.1,58.3,0,4,36.6,0
3652,22.5,25.1,57.1,0,2.7,29.8,0.3
1100,14.9,17.1,59.5,0,4.3,39,0.3
2521,14.2,16.6,54.6,0,4,41.6,1
1892,14.9,17.1,59.5,0,4.3,39,0.3
2989,17,33.1,58.3,0,4,36.6,0
6112,27.2,67.5,64.9,0,1.9,29.8,0.5
6043,27.2,67.5,64.9,0,1.9,29.8,0.5
3027,16.8,27.6,54.9,0,2.7,35.1,0
3244,16.8,27.6,54.9,0,2.7,35.1,0
3927,19.4,29.8,61.7,0,2.7,35.3,0
5919,24.8,73.4,66.8,0,1.9,30.7,1.5
6072,24.8,73.4,66.8,0,1.9,30.7,1.5
5046,27.2,67.5,64.9,0,1.9,29.8,0.5
5469,19,36.9,42.2,0.4,2.9,32.2,1.1
4183,19,36.9,42.2,0.4,2.9,32.2,1.1
2386,13.6,18.7,64.8,0,2.9,41.7,1
3376,13.6,18.7,64.8,0,2.9,41.7,1
2063,16,22.8,44,0,6.6,41.5,1.6
5271,25,49.2,42.3,0,0.6,29.6,0
4596,27.3,68.3,61.8,0,1.2,24.8,0
5719,23.9,44,48,0,0.9,28.9,0.3
4137,23.9,44,48,0,0.9,28.9,0.3
2876,17.7,23.9,57.6,0.3,3,37.5,0.3
1939,17.7,23.9,57.6,0.3,3,37.5,0.3
2544,23.9,44,48,0,0.9,28.9,0.3
2101,20.3,21.4,59.9,0.2,1.8,33.3,0
1679,17.7,23.9,57.6,0.3,3,37.5,0.3
2683,15.3,19.2,61.7,0,2.6,37.6,0.4
2952,20.3,21.4,59.9,0.2,1.8,33.3,0
1601,17.7,23.9,57.6,0.3,3,37.5,0.3
2097,22.9,34.3,61.9,0,1.5,32.6,0
3487,20.3,21.4,59.9,0.2,1.8,33.3,0
3511,23.9,44,48,0,0.9,28.9,0.3
756,15.3,19.2,61.7,0,2.6,37.6,0.4
2341,15.7,15.7,59.9,0.3,4.3,42,1.1
1540,15.3,19.2,61.7,0,2.6,37.6,0.4
1131,15.7,15.7,59.9,0.3,4.3,42,1.1
2441,20.8,22.8,60.2,1,3.4,38.2,1.4
1411,18.5,21.8,59.1,0,2.8,38.2,0.6
2030,15.3,19.2,61.7,0,2.6,37.6,0.4
5638,26.6,52.5,69.2,0,0.8,26.2,0.9
4268,23.1,39.9,54.7,0.3,2.3,31.6,0
2501,20.8,22.8,60.2,1,3.4,38.2,1.4
5154,26.6,52.5,69.2,0,0.8,26.2,0.9
1998,22.9,34.3,61.9,0,1.5,32.6,0
18,23.6,23.8,62.6,1.4,2.3,32.1,1.1
3485,20.8,22.8,60.2,1,3.4,38.2,1.4
3255,21.8,29.3,65.2,1.5,1.7,32.9,0
4476,20.8,22.8,60.2,1,3.4,38.2,1.4
4724,24.9,60.1,68,2,1,28.6,1.6
5279,21.8,29.3,65.2,1.5,1.7,32.9,0
1898,22.9,28.9,66,0.5,2.6,34.9,1.2
5156,21.8,29.3,65.2,1.5,1.7,32.9,0
2668,23.6,23.8,62.6,1.4,2.3,32.1,1.1
5898,24.9,60.1,68,2,1,28.6,1.6
5563,21.9,35.7,63.4,0.8,1.2,32.9,0.8
6167,24.9,60.1,68,2,1,28.6,1.6
2870,22.9,28.9,66,0.5,2.6,34.9,1.2
3768,23.6,23.8,62.6,1.4,2.3,32.1,1.1
6170,29.3,65.3,65.2,0.8,0.7,24.3,0.4
4994,20.8,22.8,60.2,1,3.4,38.2,1.4
6105,24.9,60.1,68,2,1,28.6,1.6
5930,24.9,46.1,68.6,1,1.6,29.6,0.5
2235,20.3,21.4,59.9,0.2,1.8,33.3,0
3039,21.9,35.7,63.4,0.8,1.2,32.9,0.8
6114,29.3,65.3,65.2,0.8,0.7,24.3,0.4
5391,22.3,34.2,60.8,0,2.9,35.3,2.3
5812,24.9,46.1,68.6,1,1.6,29.6,0.5
